Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    233867","0.0                                                                                                                                                                                                                                       ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Microorganismos cultivables a 22 ºC     ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Recuento                                ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","d                                       ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","P2                                      ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","P1                                      ","agua blanco 23/4/24           "
"    233867","20-05-2024                                                                                                                                                                                                                                ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       "," Fecha fin de los ensayos               ","agua blanco 23/4/24           "
"    233867","<0.3                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Clorito                                 ","agua blanco 23/4/24           "
"    233867","<2.5                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Bromato                                 ","agua blanco 23/4/24           "
"    233867","<0.3                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Clorato                                 ","agua blanco 23/4/24           "
"    233867","<0.15                                                                                                                                                                                                                                     ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Amonio                                  ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Sulfatos                                ","agua blanco 23/4/24           "
"    233867","<1.00                                                                                                                                                                                                                                     ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Cloruros                                ","agua blanco 23/4/24           "
"    233867","<1.00                                                                                                                                                                                                                                     ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Nitratos                                ","agua blanco 23/4/24           "
"    233867","<0.15                                                                                                                                                                                                                                     ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Nitritos                                ","agua blanco 23/4/24           "
"    233867","<10.0                                                                                                                                                                                                                                     ","    -0.020","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Cromo total                             ","agua blanco 23/4/24           "
"    233867","20-05-2024                                                                                                                                                                                                                                ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       "," Fecha comienzo de los ensayos          ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Plomo total                             ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","    -0.040","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Antimonio total                         ","agua blanco 23/4/24           "
"    233867","<1.5                                                                                                                                                                                                                                      ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Cadmio total                            ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.050","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Selenio total                           ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.010","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Arsénico total                          ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.070","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Suma Trihalometanos                     ","agua blanco 23/4/24           "
"    233867","<15.0                                                                                                                                                                                                                                     ","    15.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Bromoformo                              ","agua blanco 23/4/24           "
"    233867","<5.0                                                                                                                                                                                                                                      ","     5.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Dibromoclorometano                      ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     1.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Bromodiclorometano                      ","agua blanco 23/4/24           "
"    233867","<1.0                                                                                                                                                                                                                                      ","     0.072","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Cloroformo                              ","agua blanco 23/4/24           "
"    233867","<50.0                                                                                                                                                                                                                                     ","    -0.020","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Cobre total                             ","agua blanco 23/4/24           "
"    233867","<5.0                                                                                                                                                                                                                                      ","    -0.010","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Niquel total                            ","agua blanco 23/4/24           "
"    233867","<10.0                                                                                                                                                                                                                                     ","    -0.130","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Hierro total                            ","agua blanco 23/4/24           "
"    233867","<10.0                                                                                                                                                                                                                                     ","    -0.030","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Manganeso total                         ","agua blanco 23/4/24           "
"    233867","<50.0                                                                                                                                                                                                                                     ","    -0.110","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Aluminio total                          ","agua blanco 23/4/24           "
"    233867","<50.0                                                                                                                                                                                                                                     ","     0.610","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Boro total                              ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Recuento de bacterias coliformes        ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Recuento de Enterococos intestinales    ","agua blanco 23/4/24           "
"    233867","23/5/24                                                                                                                                                                                                                                   ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       "," Fecha fin de los ensayos               ","agua blanco 23/4/24           "
"    233867","20/5/24                                                                                                                                                                                                                                   ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       "," Fecha comienzo de los ensayos          ","agua blanco 23/4/24           "
"    233867","0                                                                                                                                                                                                                                         ","     0.000","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Recuento de C. perfringens (incluido esp","agua blanco 23/4/24           "
"    233867","<15                                                                                                                                                                                                                                       ","     0.740","20-MAY-2024 11:17:00","A","blanco envase                                                                                       ","Conductividad a 20 ºC                   ","agua blanco 23/4/24           "
"    234106","0.0                                                                                                                                                                                                                                       ","     0.000","30-MAY-2024 08:13:36","A","blanco proceso                                                                                      ","Microorganismos cultivables a 37º C     ","agua blanco legio             "
"    234106","0                                                                                                                                                                                                                                         ","     0.000","30-MAY-2024 08:13:36","A","blanco proceso                                                                                      ","Recuento                                ","agua blanco legio             "
